,pdq,pdqs,ZipCode,label,ROI
0,"(2, 2, 1)","(1, 1, 1, 12)",37918,"Knoxville, TN 37918",8.724769442241
1,"(2, 2, 1)","(1, 1, 1, 12)",37920,"Knoxville, TN 37920",6.752296240700742
2,"(2, 2, 1)","(1, 1, 1, 12)",37919,"Knoxville, TN 37919",7.731905501868519
3,"(2, 2, 1)","(1, 1, 1, 12)",37922,"Knoxville, TN 37922",1.7746622686380515
4,"(2, 2, 1)","(1, 1, 1, 12)",37830,"Oak Ridge, TN 37830",8.325272778863976
5,"(2, 2, 1)","(1, 1, 1, 12)",37923,"Knoxville, TN 37923",6.782029868421848
6,"(2, 2, 1)","(1, 1, 1, 12)",37803,"Maryville, TN 37803",7.746159818823853
7,"(2, 2, 1)","(1, 1, 1, 12)",37931,"Knoxville, TN 37931",3.077014447420014
8,"(2, 2, 1)","(1, 1, 1, 12)",37921,"Knoxville, TN 37921",8.350995855221733
9,"(2, 2, 1)","(1, 1, 1, 12)",37917,"Knoxville, TN 37917",2.051012313983499
10,"(2, 2, 1)","(1, 1, 1, 12)",37801,"Maryville, TN 37801",6.695813077826382
11,"(2, 2, 1)","(1, 1, 1, 12)",37849,"Powell, TN 37849",8.217644167285743
12,"(2, 2, 1)","(1, 1, 1, 12)",37716,"Clinton, TN 37716",14.65992982163378
13,"(2, 2, 1)","(1, 1, 1, 12)",37912,"Knoxville, TN 37912",10.025996159044821
14,"(2, 2, 1)","(1, 1, 1, 12)",37804,"Maryville, TN 37804",-3.5755030784561534
15,"(2, 2, 1)","(1, 1, 1, 12)",37934,"Farragut, TN 37934",6.607871944285723
16,"(2, 2, 1)","(1, 1, 1, 12)",37914,"Knoxville, TN 37914",20.14942437019731
17,"(2, 2, 1)","(1, 1, 1, 12)",37774,"Loudon, TN 37774",4.49435617612355
18,"(2, 2, 1)","(1, 1, 1, 12)",37766,"Lafollette, TN 37766",14.287785955788523
19,"(2, 2, 1)","(1, 1, 1, 12)",37748,"Harriman, TN 37748",-5.4428039561493335
20,"(2, 2, 1)","(1, 1, 1, 12)",37938,"Knoxville, TN 37938",7.997283631250656
21,"(2, 2, 1)","(1, 1, 1, 12)",37909,"Knoxville, TN 37909",8.314455578769229
22,"(2, 2, 1)","(1, 1, 1, 12)",37771,"Lenoir City, TN 37771",15.01663571550919
23,"(2, 2, 1)","(1, 1, 1, 12)",37932,"Knoxville, TN 37932",8.65861390520299
24,"(2, 2, 1)","(1, 1, 1, 12)",37763,"Kingston, TN 37763",-14.001164400255794
25,"(2, 2, 1)","(1, 1, 1, 12)",37854,"Rockwood, TN 37854",7.490344936076109
26,"(2, 2, 1)","(1, 1, 1, 12)",37777,"Louisville, TN 37777",12.44380638164047
27,"(2, 2, 1)","(1, 1, 1, 12)",37772,"Lenoir City, TN 37772",13.059256813617449
28,"(2, 2, 1)","(1, 1, 1, 12)",37721,"Corryton, TN 37721",5.416302448800015
29,"(2, 2, 1)","(1, 1, 1, 12)",37924,"Knoxville, TN 37924",4.696060170138856
30,"(2, 2, 1)","(1, 1, 1, 12)",37807,"Maynardville, TN 37807",20.131564418697863
31,"(2, 2, 1)","(1, 1, 1, 12)",37757,"Jacksboro, TN 37757",3.640756131661358
32,"(2, 2, 1)","(1, 1, 1, 12)",37840,"Oliver Springs, TN 37840",23.45477586199395
33,"(2, 2, 1)","(1, 1, 1, 12)",37861,"Rutledge, TN 37861",29.963003060900206
34,"(2, 2, 1)","(1, 1, 1, 12)",37701,"Alcoa, TN 37701",-2.2355524915613056
35,"(2, 2, 1)","(1, 1, 1, 12)",37769,"Lake City, TN 37769",33.19670638712491
36,"(2, 2, 1)","(1, 1, 1, 12)",37737,"Friendsville, TN 37737",14.440881844731768
37,"(2, 2, 1)","(1, 1, 1, 12)",37742,"Greenback, TN 37742",6.03144595799248
38,"(2, 2, 1)","(1, 1, 1, 12)",37887,"Wartburg, TN 37887",9.593492442353218
39,"(2, 2, 1)","(1, 1, 1, 12)",37714,"Caryville, TN 37714",12.104864694305556
